match,date,team,Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:21:54,1,1,31 María Vargas,26 Morgan Lally,1,1,0,0,0,0,0,1,0,0,0,19.516066,7.01396,-18.212116,0.2634855,0.83558697,0.63692945,0.77166563
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:22:36,1,2,18 Naomi Anderson,10 Mia Griner,0,0,0,0,0,0,0,0,1,0,0,4.0830474,-3.50698,-2.0910206,0.16113417,0.7556853,0.20401107,0.787646
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:22:58,1,2,10 Mia Griner,31 María Vargas,0,0,0,0,0,0,0,0,0,0,0,14.239877,14.095363,2.0235684,0.20401107,0.787646,0.1625173,0.6591887
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:23:14,1,2,31 María Vargas,18 Naomi Anderson,0,0,0,0,0,0,0,1,0,0,0,16.423,-2.7651203,-16.188547,0.1625173,0.6591887,0.4944675,0.68438846
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:23:28,1,2,18 Naomi Anderson,26 Morgan Lally,1,1,0,0,0,0,0,0,0,0,0,19.39609,12.409313,-14.906954,0.4944675,0.68438846,0.8001383,0.5712969
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:30:54,2,1,29 Charlotte Doran,13 Hannah Abraham,0,0,0,0,0,0,0,0,1,1,1,8.525007,-7.351171,-4.3169465,0.060165975,0.70221263,0.14868604,0.7692071
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:05,2,1,13 Hannah Abraham,20 Soju Hokari,0,0,0,0,0,0,0,0,1,1,0,11.723667,-1.6860497,-11.601793,0.14868604,0.7692071,0.3865837,0.78457284
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:10,2,1,20 Soju Hokari,75 Sarah Kingsley-Hart,0,0,0,0,0,0,0,0,0,0,0,8.398944,8.227918,-1.686307,0.3865837,0.78457284,0.42116183,0.70958817
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:17,2,1,75 Sarah Kingsley-Hart,20 Soju Hokari,0,0,0,0,0,0,0,0,1,0,0,9.44737,-6.8790793,6.475419,0.42116183,0.70958817,0.28838176,0.7722803
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:19,2,1,20 Soju Hokari,05 Megan Jarriel,0,0,0,0,0,0,0,0,0,0,0,10.180371,8.6325655,-5.3961825,0.28838176,0.7722803,0.39903182,0.69360787
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:22,2,1,05 Megan Jarriel,20 Soju Hokari,0,0,0,0,0,0,0,0,0,0,0,12.058024,2.7651203,11.736697,0.39903182,0.69360787,0.15836792,0.6684081
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:26,2,1,20 Soju Hokari,05 Megan Jarriel,0,0,0,0,0,0,0,0,1,0,0,12.7391205,-2.5627964,-12.478672,0.15836792,0.6684081,0.4142462,0.691764
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:28,2,1,05 Megan Jarriel,20 Soju Hokari,0,0,0,0,0,0,0,0,0,0,0,11.264531,0.0,11.264531,0.4142462,0.691764,0.18326418,0.691764
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:31,2,1,20 Soju Hokari,05 Megan Jarriel,0,0,0,0,0,0,0,0,1,0,0,8.506489,-3.7767475,-7.6221085,0.18326418,0.691764,0.3395574,0.7261832
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:33,2,1,05 Megan Jarriel,03 Alex Krueger,0,0,0,0,0,0,0,0,0,0,1,14.199411,8.902333,11.062176,0.3395574,0.7261832,0.11272476,0.64505225
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:39,2,1,03 Alex Krueger,08 Dani Ortiz,0,0,0,0,0,0,0,0,0,1,0,8.027956,0.13488711,-8.026823,0.11272476,0.64505225,0.27731675,0.64382297
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:31:48,2,1,08 Dani Ortiz,03 Alex Krueger,0,0,0,0,0,0,0,0,0,0,0,20.476498,16.388382,-12.276315,0.27731675,0.64382297,0.52904564,0.49446836
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:32:10,2,1,03 Alex Krueger,75 Sarah Kingsley-Hart,1,1,0,1,0,0,1,0,0,0,0,44.51167,44.51167,0.0,0.52904564,0.49446836,0.52904564,0.08881377
ATL @ ATX,2024-04-07_13-00-00,ATL,2024-04-10 01:34:17,3,1,18 Naomi Anderson,31 María Vargas,0,0,0,0,0,0,0,0,0,1,0,9.381929,0.33721125,9.375867,0.99654216,0.6573448,0.8042877,0.65427166
